frame_number,start_time,processing_duration,face_detected
0,2023-03-08-08-09-49,0.0397825,1
1,2023-03-08-08-09-49,0.0222565,1
2,2023-03-08-08-09-49,0.0215107,1
3,2023-03-08-08-09-49,0.0237696,1
4,2023-03-08-08-09-49,0.0209795,1
5,2023-03-08-08-09-49,0.021737,1
6,2023-03-08-08-09-49,0.0200982,1
7,2023-03-08-08-09-49,0.0198551,1
8,2023-03-08-08-09-49,0.0206935,1
9,2023-03-08-08-09-49,0.0185088,1
10,2023-03-08-08-09-49,0.0197081,1
11,2023-03-08-08-09-49,0.0173748,1
12,2023-03-08-08-09-49,0.0160724,1
13,2023-03-08-08-09-49,0.0154706,1
14,2023-03-08-08-09-49,0.0159682,1
15,2023-03-08-08-09-49,0.0113164,1
16,2023-03-08-08-09-49,0.0143079,1
17,2023-03-08-08-09-49,0.0114644,1
18,2023-03-08-08-09-50,0.0116341,1
19,2023-03-08-08-09-50,0.0113339,1
20,2023-03-08-08-09-50,0.0135957,1
21,2023-03-08-08-09-50,0.0121672,1
22,2023-03-08-08-09-50,0.0154044,1
23,2023-03-08-08-09-50,0.0132793,1
24,2023-03-08-08-09-50,0.0117196,1
25,2023-03-08-08-09-50,0.0143807,1
26,2023-03-08-08-09-50,0.0112644,1
27,2023-03-08-08-09-50,0.0112692,1
28,2023-03-08-08-09-50,0.0113689,1
29,2023-03-08-08-09-50,0.0131936,1
30,2023-03-08-08-09-50,0.0133466,1
31,2023-03-08-08-09-50,0.0122842,1
32,2023-03-08-08-09-50,0.0136728,1
33,2023-03-08-08-09-50,0.0119817,1
34,2023-03-08-08-09-50,0.0111942,1
35,2023-03-08-08-09-50,0.0127196,1
36,2023-03-08-08-09-50,0.0114404,1
37,2023-03-08-08-09-50,0.0119058,1
38,2023-03-08-08-09-50,0.0143177,1
39,2023-03-08-08-09-50,0.0118201,1
40,2023-03-08-08-09-50,0.0134639,1
41,2023-03-08-08-09-50,0.0151667,1
42,2023-03-08-08-09-50,0.0129142,1
43,2023-03-08-08-09-50,0.0139495,1
44,2023-03-08-08-09-50,0.0113468,1
45,2023-03-08-08-09-50,0.0120881,1
