frame_number,start_time,processing_duration,face_detected
0,2023-03-08-07-46-57,0.0213835,1
1,2023-03-08-07-46-57,0.0246474,1
2,2023-03-08-07-46-57,0.0209301,1
3,2023-03-08-07-46-57,0.0213846,1
4,2023-03-08-07-46-57,0.0241299,1
5,2023-03-08-07-46-57,0.020749,1
6,2023-03-08-07-46-57,0.0158711,1
7,2023-03-08-07-46-57,0.0138941,1
8,2023-03-08-07-46-57,0.0180482,1
9,2023-03-08-07-46-57,0.0158553,1
10,2023-03-08-07-46-57,0.0133744,1
11,2023-03-08-07-46-57,0.0144153,1
12,2023-03-08-07-46-57,0.0125083,1
13,2023-03-08-07-46-57,0.0143866,1
14,2023-03-08-07-46-57,0.0131831,1
15,2023-03-08-07-46-57,0.0137038,1
16,2023-03-08-07-46-57,0.0169567,1
17,2023-03-08-07-46-57,0.0162402,1
18,2023-03-08-07-46-57,0.0130208,1
19,2023-03-08-07-46-57,0.0148824,1
20,2023-03-08-07-46-57,0.0149506,1
21,2023-03-08-07-46-57,0.0158443,1
22,2023-03-08-07-46-57,0.0147892,1
23,2023-03-08-07-46-57,0.0159381,1
24,2023-03-08-07-46-57,0.0171207,1
25,2023-03-08-07-46-57,0.0126062,1
26,2023-03-08-07-46-57,0.0126444,1
27,2023-03-08-07-46-57,0.0135012,1
28,2023-03-08-07-46-57,0.0135459,1
29,2023-03-08-07-46-58,0.012898,1
30,2023-03-08-07-46-58,0.0135552,1
31,2023-03-08-07-46-58,0.0131575,1
32,2023-03-08-07-46-58,0.0153994,1
33,2023-03-08-07-46-58,0.0132132,1
34,2023-03-08-07-46-58,0.0126698,1
35,2023-03-08-07-46-58,0.0150118,1
36,2023-03-08-07-46-58,0.015995,1
37,2023-03-08-07-46-58,0.0126328,1
38,2023-03-08-07-46-58,0.0138753,1
39,2023-03-08-07-46-58,0.0129303,1
40,2023-03-08-07-46-58,0.0169937,1
41,2023-03-08-07-46-58,0.0155953,1
42,2023-03-08-07-46-58,0.0202812,1
43,2023-03-08-07-46-58,0.0152144,1
44,2023-03-08-07-46-58,0.0127997,1
45,2023-03-08-07-46-58,0.0126618,1
46,2023-03-08-07-46-58,0.0133478,1
47,2023-03-08-07-46-58,0.0258887,1
48,2023-03-08-07-46-58,0.0235958,1
49,2023-03-08-07-46-58,0.0233212,1
50,2023-03-08-07-46-58,0.0181258,1
51,2023-03-08-07-46-58,0.0204305,1
52,2023-03-08-07-46-58,0.0143871,1
53,2023-03-08-07-46-58,0.0134812,1
54,2023-03-08-07-46-58,0.0140357,1
55,2023-03-08-07-46-58,0.0162306,1
56,2023-03-08-07-46-58,0.0191488,1
57,2023-03-08-07-46-58,0.0152739,1
58,2023-03-08-07-46-58,0.0157963,1
59,2023-03-08-07-46-59,0.0205537,1
60,2023-03-08-07-46-59,0.0136909,1
61,2023-03-08-07-46-59,0.0148922,1
62,2023-03-08-07-46-59,0.0142401,1
63,2023-03-08-07-46-59,0.0150606,1
64,2023-03-08-07-46-59,0.0152691,1
65,2023-03-08-07-46-59,0.0139361,1
66,2023-03-08-07-46-59,0.0192252,1
67,2023-03-08-07-46-59,0.0169609,1
68,2023-03-08-07-46-59,0.0212824,1
69,2023-03-08-07-46-59,0.0212844,1
70,2023-03-08-07-46-59,0.0147594,1
71,2023-03-08-07-46-59,0.0126445,1
72,2023-03-08-07-46-59,0.0128068,1
73,2023-03-08-07-46-59,0.0131767,1
74,2023-03-08-07-46-59,0.0137162,1
75,2023-03-08-07-46-59,0.0135652,1
76,2023-03-08-07-46-59,0.0142965,1
77,2023-03-08-07-46-59,0.0146037,1
78,2023-03-08-07-46-59,0.0201451,1
79,2023-03-08-07-46-59,0.0157875,1
80,2023-03-08-07-46-59,0.0151667,1
