frame_number,start_time,processing_duration,face_detected
0,2023-03-08-07-49-02,0.0323611,1
1,2023-03-08-07-49-02,0.028801,1
2,2023-03-08-07-49-02,0.0246685,1
3,2023-03-08-07-49-02,0.024657,1
4,2023-03-08-07-49-02,0.022398,1
5,2023-03-08-07-49-02,0.0206155,1
6,2023-03-08-07-49-02,0.0176062,1
7,2023-03-08-07-49-02,0.0208709,1
8,2023-03-08-07-49-02,0.020333,1
9,2023-03-08-07-49-02,0.0187351,1
10,2023-03-08-07-49-02,0.0218671,1
11,2023-03-08-07-49-03,0.0172262,1
12,2023-03-08-07-49-03,0.0180595,1
13,2023-03-08-07-49-03,0.0185192,1
14,2023-03-08-07-49-03,0.0201851,1
15,2023-03-08-07-49-03,0.0168887,1
16,2023-03-08-07-49-03,0.0168218,1
17,2023-03-08-07-49-03,0.018295,1
18,2023-03-08-07-49-03,0.0217843,1
19,2023-03-08-07-49-03,0.0161895,1
20,2023-03-08-07-49-03,0.020541,1
21,2023-03-08-07-49-03,0.0170423,1
22,2023-03-08-07-49-03,0.0189076,1
23,2023-03-08-07-49-03,0.0182445,1
24,2023-03-08-07-49-03,0.0167446,1
25,2023-03-08-07-49-03,0.0184012,1
26,2023-03-08-07-49-03,0.0188331,1
27,2023-03-08-07-49-03,0.0156141,1
28,2023-03-08-07-49-03,0.016784,1
29,2023-03-08-07-49-03,0.015668,1
30,2023-03-08-07-49-03,0.0162,1
31,2023-03-08-07-49-03,0.0160179,1
32,2023-03-08-07-49-03,0.0171854,1
33,2023-03-08-07-49-03,0.0212794,1
34,2023-03-08-07-49-03,0.0171144,1
35,2023-03-08-07-49-03,0.0173865,1
36,2023-03-08-07-49-03,0.0161248,1
37,2023-03-08-07-49-03,0.0164931,1
38,2023-03-08-07-49-03,0.0155601,1
39,2023-03-08-07-49-03,0.0197849,1
40,2023-03-08-07-49-03,0.0161613,1
41,2023-03-08-07-49-04,0.0231181,1
42,2023-03-08-07-49-04,0.0225164,1
43,2023-03-08-07-49-04,0.0225546,1
44,2023-03-08-07-49-04,0.0185234,1
45,2023-03-08-07-49-04,0.0237842,1
46,2023-03-08-07-49-04,0.0233264,1
47,2023-03-08-07-49-04,0.0191317,1
48,2023-03-08-07-49-04,0.0195002,1
49,2023-03-08-07-49-04,0.0170728,1
50,2023-03-08-07-49-04,0.0175756,1
51,2023-03-08-07-49-04,0.0209727,1
52,2023-03-08-07-49-04,0.0194082,1
53,2023-03-08-07-49-04,0.0170347,1
54,2023-03-08-07-49-04,0.0180784,1
55,2023-03-08-07-49-04,0.0167137,1
56,2023-03-08-07-49-04,0.0152548,1
57,2023-03-08-07-49-04,0.0153225,1
58,2023-03-08-07-49-04,0.0210714,1
59,2023-03-08-07-49-04,0.0182328,1
60,2023-03-08-07-49-04,0.0232614,1
61,2023-03-08-07-49-04,0.0209943,1
62,2023-03-08-07-49-04,0.0172244,1
63,2023-03-08-07-49-04,0.0221792,1
64,2023-03-08-07-49-04,0.0231726,1
65,2023-03-08-07-49-04,0.0171639,1
66,2023-03-08-07-49-04,0.0178267,1
67,2023-03-08-07-49-04,0.0164108,1
68,2023-03-08-07-49-04,0.016332,1
69,2023-03-08-07-49-04,0.0158677,1
70,2023-03-08-07-49-04,0.0188715,1
71,2023-03-08-07-49-05,0.0185774,1
72,2023-03-08-07-49-05,0.0169807,1
73,2023-03-08-07-49-05,0.0158836,1
74,2023-03-08-07-49-05,0.0159454,1
75,2023-03-08-07-49-05,0.0166379,1
76,2023-03-08-07-49-05,0.0205146,1
77,2023-03-08-07-49-05,0.0210993,1
78,2023-03-08-07-49-05,0.0155793,1
79,2023-03-08-07-49-05,0.0166816,1
80,2023-03-08-07-49-05,0.018439,1
81,2023-03-08-07-49-05,0.0159496,1
82,2023-03-08-07-49-05,0.0164364,1
83,2023-03-08-07-49-05,0.0162588,1
84,2023-03-08-07-49-05,0.0201085,1
85,2023-03-08-07-49-05,0.0156127,1
86,2023-03-08-07-49-05,0.0155731,1
87,2023-03-08-07-49-05,0.015416,1
88,2023-03-08-07-49-05,0.0200221,1
89,2023-03-08-07-49-05,0.0194879,1
90,2023-03-08-07-49-05,0.0166265,1
91,2023-03-08-07-49-05,0.0153752,1
92,2023-03-08-07-49-05,0.0156999,1
93,2023-03-08-07-49-05,0.0161915,1
94,2023-03-08-07-49-05,0.0153508,1
95,2023-03-08-07-49-05,0.0181109,1
96,2023-03-08-07-49-05,0.0166501,1
97,2023-03-08-07-49-05,0.014808,1
98,2023-03-08-07-49-05,0.019316,1
99,2023-03-08-07-49-05,0.0164497,1
100,2023-03-08-07-49-05,0.0153493,1
101,2023-03-08-07-49-06,0.0183427,1
102,2023-03-08-07-49-06,0.0180468,1
103,2023-03-08-07-49-06,0.0155585,1
104,2023-03-08-07-49-06,0.0154476,1
105,2023-03-08-07-49-06,0.0155544,1
106,2023-03-08-07-49-06,0.0153249,1
107,2023-03-08-07-49-06,0.0193986,1
108,2023-03-08-07-49-06,0.0190306,1
109,2023-03-08-07-49-06,0.0191598,1
110,2023-03-08-07-49-06,0.0159216,1
111,2023-03-08-07-49-06,0.015548,1
112,2023-03-08-07-49-06,0.0208161,1
113,2023-03-08-07-49-06,0.0143079,1
114,2023-03-08-07-49-06,0.0154546,1
115,2023-03-08-07-49-06,0.0146288,1
116,2023-03-08-07-49-06,0.0195783,1
117,2023-03-08-07-49-06,0.0185191,1
118,2023-03-08-07-49-06,0.0141406,1
119,2023-03-08-07-49-06,0.0149061,1
120,2023-03-08-07-49-06,0.0186302,1
121,2023-03-08-07-49-06,0.0173937,1
122,2023-03-08-07-49-06,0.0153422,1
123,2023-03-08-07-49-06,0.0149713,1
124,2023-03-08-07-49-06,0.0163373,1
125,2023-03-08-07-49-06,0.0146193,1
126,2023-03-08-07-49-06,0.0189049,1
127,2023-03-08-07-49-06,0.0153464,1
128,2023-03-08-07-49-06,0.0144617,1
129,2023-03-08-07-49-06,0.0139777,1
130,2023-03-08-07-49-06,0.01407,1
131,2023-03-08-07-49-07,0.0146326,1
132,2023-03-08-07-49-07,0.0163531,1
133,2023-03-08-07-49-07,0.0137124,1
134,2023-03-08-07-49-07,0.0136641,1
135,2023-03-08-07-49-07,0.0165238,1
136,2023-03-08-07-49-07,0.0134154,1
137,2023-03-08-07-49-07,0.0137229,1
138,2023-03-08-07-49-07,0.0148335,1
139,2023-03-08-07-49-07,0.0187784,1
140,2023-03-08-07-49-07,0.0163694,1
141,2023-03-08-07-49-07,0.0138848,1
142,2023-03-08-07-49-07,0.0132218,1
143,2023-03-08-07-49-07,0.0138303,1
144,2023-03-08-07-49-07,0.0138551,1
145,2023-03-08-07-49-07,0.015405,1
146,2023-03-08-07-49-07,0.0139439,1
147,2023-03-08-07-49-07,0.0138904,1
148,2023-03-08-07-49-07,0.0132892,1
149,2023-03-08-07-49-07,0.0130418,1
150,2023-03-08-07-49-07,0.0138324,1
151,2023-03-08-07-49-07,0.015094,1
152,2023-03-08-07-49-07,0.0141405,1
153,2023-03-08-07-49-07,0.0149594,1
154,2023-03-08-07-49-07,0.0156308,1
155,2023-03-08-07-49-07,0.013788,1
156,2023-03-08-07-49-07,0.0143207,1
157,2023-03-08-07-49-07,0.0149475,1
158,2023-03-08-07-49-07,0.0156376,1
159,2023-03-08-07-49-07,0.0148381,1
160,2023-03-08-07-49-08,0.0154089,1
161,2023-03-08-07-49-08,0.0136209,1
162,2023-03-08-07-49-08,0.0154052,1
163,2023-03-08-07-49-08,0.0144239,1
164,2023-03-08-07-49-08,0.016415,1
165,2023-03-08-07-49-08,0.0132573,1
166,2023-03-08-07-49-08,0.016194,1
167,2023-03-08-07-49-08,0.0129264,1
168,2023-03-08-07-49-08,0.0119209,1
169,2023-03-08-07-49-08,0.0143895,1
170,2023-03-08-07-49-08,0.0126784,1
171,2023-03-08-07-49-08,0.0121583,1
172,2023-03-08-07-49-08,0.0121791,1
173,2023-03-08-07-49-08,0.0123584,1
174,2023-03-08-07-49-08,0.015755,1
175,2023-03-08-07-49-08,0.0181412,1
176,2023-03-08-07-49-08,0.0149739,1
177,2023-03-08-07-49-08,0.0133788,1
178,2023-03-08-07-49-08,0.0146014,1
179,2023-03-08-07-49-08,0.0137518,1
