frame_number,start_time,processing_duration,face_detected
0,2023-03-08-07-44-31,0.0262688,1
1,2023-03-08-07-44-31,0.0260513,1
2,2023-03-08-07-44-31,0.0263601,1
3,2023-03-08-07-44-31,0.0236625,1
4,2023-03-08-07-44-31,0.0195714,1
5,2023-03-08-07-44-31,0.0186611,1
6,2023-03-08-07-44-31,0.0175357,1
7,2023-03-08-07-44-31,0.0173748,1
8,2023-03-08-07-44-31,0.0164851,1
9,2023-03-08-07-44-31,0.01428,1
10,2023-03-08-07-44-31,0.0168805,1
11,2023-03-08-07-44-31,0.0162335,1
12,2023-03-08-07-44-31,0.0131793,1
13,2023-03-08-07-44-31,0.0144838,1
14,2023-03-08-07-44-31,0.012991,1
15,2023-03-08-07-44-31,0.0126391,1
16,2023-03-08-07-44-31,0.0144908,1
17,2023-03-08-07-44-31,0.0138095,1
18,2023-03-08-07-44-31,0.0134483,1
19,2023-03-08-07-44-31,0.0141553,1
20,2023-03-08-07-44-31,0.0131529,1
21,2023-03-08-07-44-31,0.0136383,1
22,2023-03-08-07-44-32,0.0175561,1
23,2023-03-08-07-44-32,0.016389,1
24,2023-03-08-07-44-32,0.0147938,1
25,2023-03-08-07-44-32,0.0138102,1
26,2023-03-08-07-44-32,0.0134063,1
27,2023-03-08-07-44-32,0.0177039,1
28,2023-03-08-07-44-32,0.0147497,1
29,2023-03-08-07-44-32,0.0130112,1
30,2023-03-08-07-44-32,0.019892,1
31,2023-03-08-07-44-32,0.0168213,1
32,2023-03-08-07-44-32,0.0141006,1
33,2023-03-08-07-44-32,0.0136254,1
34,2023-03-08-07-44-32,0.0131836,1
35,2023-03-08-07-44-32,0.0179474,1
36,2023-03-08-07-44-32,0.0159873,1
37,2023-03-08-07-44-32,0.0128797,1
38,2023-03-08-07-44-32,0.0153867,1
39,2023-03-08-07-44-32,0.0156995,1
40,2023-03-08-07-44-32,0.0140626,1
41,2023-03-08-07-44-32,0.0371999,1
42,2023-03-08-07-44-32,0.0255765,1
43,2023-03-08-07-44-32,0.0220989,1
44,2023-03-08-07-44-32,0.0198511,1
45,2023-03-08-07-44-32,0.0161387,1
46,2023-03-08-07-44-32,0.0139431,1
47,2023-03-08-07-44-32,0.0144287,1
48,2023-03-08-07-44-32,0.0173712,1
49,2023-03-08-07-44-32,0.0124668,1
50,2023-03-08-07-44-32,0.0126186,1
51,2023-03-08-07-44-32,0.0125973,1
52,2023-03-08-07-44-33,0.0168421,1
53,2023-03-08-07-44-33,0.0147393,1
54,2023-03-08-07-44-33,0.015864,1
55,2023-03-08-07-44-33,0.0135519,1
56,2023-03-08-07-44-33,0.014392,1
57,2023-03-08-07-44-33,0.0155712,1
58,2023-03-08-07-44-33,0.0134265,1
59,2023-03-08-07-44-33,0.0165285,1
60,2023-03-08-07-44-33,0.019453,1
61,2023-03-08-07-44-33,0.0190822,1
62,2023-03-08-07-44-33,0.016527,1
63,2023-03-08-07-44-33,0.0172622,1
64,2023-03-08-07-44-33,0.0144018,1
65,2023-03-08-07-44-33,0.0145582,1
66,2023-03-08-07-44-33,0.015108,1
67,2023-03-08-07-44-33,0.0128198,1
68,2023-03-08-07-44-33,0.0127121,1
